Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
Drummond Road Capital,https://www.crunchbase.com/organization/drummond-road-capital,40,8,"Cleveland, Ohio, United States",Funding the Gap Between Angel and Institutional Venture Capital,Venture Capital,"Early Stage Venture, Private Equity, Seed",31,,
Illinois Ventures,https://www.crunchbase.com/organization/illinois-ventures,40,8,"Chicago, Illinois, United States","Illinois Ventures is a seed and early-stage technology investment firm focused on research-derived companies in information technologies,",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",30,,
BYU Cougar Capital,https://www.crunchbase.com/organization/cougar-capital,40,12,"Provo, Utah, United States",BYU Cougar Capital is a student-run venture capital and private equity fund run by 2nd-year MBA students.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",33,,
Topspin Partners,https://www.crunchbase.com/organization/topspin-partners,40,8,"Roslyn Heights, New York, United States","Topspin is the successor fund to the Long Island Venture Fund, a successful venture capital fund which began investing in 1995.",Venture Capital,"Early Stage Venture, Late Stage Venture",22,,
LaunchHouse,https://www.crunchbase.com/organization/launchhouse,40,,"Cleveland, Ohio, United States","LaunchHouse is an Ohio-based lean business accelerator that offers education, funding, mentorship, and networking opportunities.",Accelerator,Seed,40,,
Rose Tech Ventures,https://www.crunchbase.com/organization/rose-tech-ventures,40,11,"New York, New York, United States",Rose Tech Ventures is an early stage investment fund that provides investments to ventures.,Incubator,"Debt, Early Stage Venture, Late Stage Venture, Seed",29,,
Morgan Stanley Expansion Capital,https://www.crunchbase.com/organization/morgan-stanley-expansion-capital-2,40,25,"New York, New York, United States","Morgan Stanley Expansion Capital, a private equity firm, invests in technology, healthcare, consumer, digital media, and many other sectors.",Corporate Venture Capital,Late Stage Venture,39,,
Hambrecht & Quist Capital Management,https://www.crunchbase.com/organization/hambrecht-quist-capital-management,40,23,"Boston, Massachusetts, United States","Hambrecht & Quist Capital Management, LLC (HQCM), a registered investment adviser based in Boston, Massachusetts, is currently the",Venture Capital,"Early Stage Venture, Late Stage Venture",35,,
InvestMichigan,https://www.crunchbase.com/organization/investmichigan-credit-suisse,40,14,"Farmington Hills, Michigan, United States","The InvestMichigan! Growth Capital Funds are managed by Beringea and GCM Customized Fund Investment Group, L.P.",Private Equity Firm,Late Stage Venture,39,,
Juniper Networks,https://www.crunchbase.com/organization/juniper-networks,39,19,"Sunnyvale, California, United States","Juniper Networks is a news network that designs, develops, and sells products and services, along with network infrastructure.",,,31,,
American Express Ventures,https://www.crunchbase.com/organization/american-express-ventures,39,6,"Palo Alto, California, United States",American Express Ventures is a Palo Alto-based venture capital firm focused on both domestic and international investment opportunities.,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture",36,,
Tom Williams,https://www.crunchbase.com/person/tom-williams-2,39,2,"San Francisco, California, United States",Tom is known as the trusted friend to many of the CEO's he backs. He invests across all stages.,Individual/Angel,"Early Stage Venture, Late Stage Venture, Seed",33,,
Breyer Capital,https://www.crunchbase.com/organization/breyer-capital,39,5,"Menlo Park, California, United States",Premier global venture capital and private equity investor focused on catalyzing high-impact entrepreneurs in the US and China,Venture Capital,"Early Stage Venture, Private Equity",30,,
Susquehanna International Group,https://www.crunchbase.com/organization/susquehanna-international-group-llp,39,6,"Bala Cynwyd, Pennsylvania, United States","Since its inception in 1987, the Susquehanna International Group of Companies (SIG)* has grown from a trading firm on the Philadelphia.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",35,,
Bill Gates,https://www.crunchbase.com/person/bill-gates,39,2,"Seattle, Washington, United States","Bill Gates is founder, technology advisor and board member of Microsoft Corporation, the worldwide leader in software, services and solution...","Individual/Angel, Investment Partner",Seed,23,,
Female Founders Fund,https://www.crunchbase.com/organization/female-founders-fund,39,2,"New York, New York, United States","A seed fund, started by Anu Duggal, that invests in startups with female founders.",Venture Capital,"Early Stage Venture, Seed",29,,
Rosecliff Ventures,https://www.crunchbase.com/organization/rosecliff-ventures,39,1,"New York, New York, United States",Rosecliff is a NYC based alternative investment firm focused on private equity and venture capital investments.,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed",32,,
Seven Peaks Ventures,https://www.crunchbase.com/organization/seven-peaks-ventures,39,,"Bend, Oregon, United States",Seven Peaks Ventures is an early-stage venture capital fund focused on funding highly scalable software businesses.,Venture Capital,"Early Stage Venture, Seed",22,,
Nihal Mehta,https://www.crunchbase.com/person/nihal-mehta,39,6,"New York, New York, United States","Nihal Mehta, Founding General Partner at Eniac Ventures At Eniac we call Nihal the human rolodex, thanks to the thousands of connections he...","Individual/Angel, Investment Partner","Early Stage Venture, Seed",32,,
Eclipse,https://www.crunchbase.com/organization/eclipse-ventures,39,,"Palo Alto, California, United States","Eclipse works with entrepreneurs harnessing the combined power of hardware, software, and data to build companies of the future.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",29,,
Matt Mullenweg,https://www.crunchbase.com/person/matt-mullenweg,39,15,"Houston, Texas, United States","Matt Mullenweg is a co-founder of WordPress, an open-source blogging platform on the web. He is also the founder of Automattic, the company ...",Individual/Angel,Seed,36,,
TechOperators,https://www.crunchbase.com/organization/techoperators,39,6,"Atlanta, Georgia, United States","TechOperators is a venture capital firm which focuses on solutions in software, internet, cloud computing, security, and infrastructure.",Venture Capital,"Early Stage Venture, Seed",23,,
David Sacks,https://www.crunchbase.com/person/david-sacks,39,6,"San Francisco, California, United States",David Sacks is an Internet entrepreneur and investor. He was the original COO and product leader of PayPal and Founder/CEO of Yammer (acquir...,Individual/Angel,Seed,37,,
Oregon Venture Fund,https://www.crunchbase.com/organization/oregon-angel-fund,39,10,"Portland, Oregon, United States",Oregon Venture Fund is a professionally-managed venture fund backed by 200+ of Oregon's entrepreneur & tech leaders.,Angel Group,"Early Stage Venture, Seed",34,,
Hadi Partovi,https://www.crunchbase.com/person/hadi-partovi,39,19,"Bellevue, Washington, United States","Hadi Partovi is an entrepreneur and investor, and CEO of the education non-profit Code.org.  In 2013 Hadi and his twin brother Ali launch...",Individual/Angel,Seed,34,,
NYC Seed,https://www.crunchbase.com/organization/nyc-seed,39,11,"Brooklyn, New York, United States","NYC Seed is a New York City-based seed venture capital firm. It is a partnership between ITAC, New York City Investment Fund, The New York",Angel Group,"Early Stage Venture, Seed",32,,
Borealis Ventures,https://www.crunchbase.com/organization/borealis-ventures,39,7,"Hanover, New Hampshire, United States",Borealis Ventures partners closely with exceptional entrepreneurs from the earliest stages to build market-defining companies in,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",25,,
Dylan Taylor,https://www.crunchbase.com/person/dylan-taylor,39,1,"Denver, Colorado, United States","Dylan Taylor is an early stage space investor and founding partner Space Angels Network: Planet, Astrobotics, Relativity Space, Vector Space...",Individual/Angel,Seed,28,,
Horizon Ventures,https://www.crunchbase.com/organization/horizon-ventures,39,12,"Los Altos, California, United States",Horizon Ventures is a Hong Kong-based venture capital firm specialized in early- and late-stage investments.,Venture Capital,"Early Stage Venture, Late Stage Venture",25,,
WS Investments,https://www.crunchbase.com/organization/ws-investments,39,13,"Palo Alto, California, United States",WS Investment Co. is the investment fund of law firm Wilson Sonsini Goodrich & Rosati. The fund was formed in 1978 and has been managed,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",35,,
Lakewest Venture Partners,https://www.crunchbase.com/organization/lakewest-venture-partners,39,5,"Chicago, Illinois, United States","Lakewest Venture Partners is a real estate and private equity company, pursuing seed and early stage investment opportunities.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",26,,
Foundation Medical Partners,https://www.crunchbase.com/organization/foundation-medical-partners,39,10,"Norwalk, Connecticut, United States",Foundation Medical Partners is a team of proven healthcare technology venture capital investors,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",18,,
Affinity Capital Management,https://www.crunchbase.com/organization/affinity-capital-management,39,10,"Minneapolis, Minnesota, United States",Affinity Capital Management is a Minnesota-based investment company that funds healthcare technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture",25,,
